hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
53.199001,1016.855713,883.460022,-153.550064,994.809631,886.535461,-121.498459,805.280212,856.051025,-149.552139,861.809998,508.470825,-174.780624,1095.094971,265.980408,96.372421,781.791443,543.151672,95.842308,798.788025,227.69191
54.588223,1008.116699,884.224121,-152.141663,986.241272,886.570435,-120.097534,796.660461,857.16626,-149.398071,846.348389,508.757233,-174.955078,1081.546021,268.920685,97.732475,775.310852,543.347229,96.384079,796.705872,227.039612
55.895916,999.544189,885.033142,-150.803421,977.762695,886.621826,-118.691322,788.144348,858.351379,-149.201065,830.742126,509.218323,-175.043152,1067.404907,271.832672,99.03228,769.217834,543.527161,96.891411,794.85437,226.41362
57.114109,991.151001,885.871033,-149.543335,969.371826,886.690125,-117.275475,779.733459,859.591858,-148.937546,815.104736,509.878693,-175.030106,1052.749878,274.666016,100.264793,763.510315,543.677795,97.36203,793.220581,225.814285
58.235386,982.94751,886.722046,-148.369156,961.065979,886.776855,-115.845642,771.428955,860.872986,-148.589798,799.537476,510.758148,-174.903824,1037.657959,277.364716,101.427811,758.175293,543.789001,97.794991,791.787354,225.242294
59.253231,974.941895,887.57074,-147.288071,952.842468,886.883789,-114.398018,763.231384,862.179443,-148.14743,784.124207,511.869446,-174.654587,1022.198425,279.868134,102.523026,753.191895,543.853271,98.190018,790.534119,224.698578
60.16238,967.139221,888.402893,-146.305954,944.698792,887.01239,-112.929825,755.141785,863.496155,-147.607285,768.929626,513.216248,-174.274719,1006.429077,282.112366,103.554955,748.532959,543.864563,98.547005,789.437988,224.183899
60.959064,959.542664,889.205322,-145.4272,936.63385,887.163635,-111.439842,747.161621,864.807312,-146.971893,753.999084,514.793091,-173.75798,990.393982,284.032562,104.529526,744.167969,543.818115,98.865784,788.474548,223.698761
61.641193,952.15271,889.967041,-144.654312,928.647583,887.336853,-109.928894,739.292908,866.097351,-146.247528,739.361023,516.585693,-173.099274,974.122192,285.566162,105.452881,740.065063,543.710449,99.146133,787.61853,223.243057
62.208473,944.967834,890.678406,-143.987717,920.741699,887.529785,-108.400108,731.538269,867.350708,-145.441849,725.030273,518.573303,-172.294418,957.629211,286.656921,106.330299,736.191467,543.539246,99.387848,786.84436,222.815918
62.662342,937.984192,891.332153,-143.425751,912.919312,887.738281,-106.859108,723.900879,868.552307,-144.562134,711.012268,520.73053,-171.340607,940.918762,287.258484,107.16539,732.51532,543.303467,99.590836,786.127563,222.415634
63.005871,931.196228,891.922974,-142.964828,905.184692,887.956299,-105.313828,716.383606,869.68811,-143.614166,697.30719,523.03064,-170.236633,923.985962,287.33786,107.959587,729.005615,543.003967,99.755295,785.444153,222.03981
63.243546,924.596497,892.447571,-142.599655,897.542969,888.176575,-103.774178,708.989685,870.744507,-142.601471,683.913147,525.446899,-168.983337,906.820068,286.877899,108.712112,725.632751,542.643311,99.881653,784.772461,221.685349
63.380951,918.175903,892.904724,-142.323669,889.999573,888.390686,-102.251419,701.721252,871.7099,-141.525406,670.828796,527.954041,-167.583755,889.407959,285.87854,109.420258,722.368469,542.225769,99.970596,784.093384,221.348755
63.424492,911.923828,893.294373,-142.129379,882.559448,888.589783,-100.757484,694.579468,872.573547,-140.385406,658.054443,530.529358,-166.042908,871.73645,284.356995,110.079887,719.186768,541.757019,100.023087,783.390869,221.026428
63.380978,905.828247,893.618408,-142.00885,875.22644,888.765564,-99.304153,687.56427,873.326721,-139.179688,645.593201,533.1521,-164.367325,853.794739,282.346405,110.686218,716.06427,541.24353,100.040314,782.652893,220.714798
63.257351,899.876038,893.879211,-141.954147,868.002625,888.909973,-97.902206,680.673218,873.962097,-137.905975,633.451599,535.803101,-162.56424,835.5755,279.894196,111.234581,712.980896,540.692322,100.023743,781.871277,220.410461
63.060345,894.05304,894.080444,-141.957718,860.887634,889.016235,-96.560684,673.902283,874.474121,-136.562027,621.639771,538.463379,-160.641098,817.076965,277.059875,111.721115,709.920593,540.110168,99.975121,781.041565,220.110535
62.796265,888.343994,894.226196,-142.012527,853.878113,889.078674,-95.286224,667.244568,874.858521,-135.146378,610.172363,541.113525,-158.605209,798.304504,273.912415,112.14341,706.871826,539.503174,99.896461,780.16333,219.812485
62.470818,882.732849,894.320557,-142.112411,846.967224,889.092896,-94.082634,660.690674,875.112549,-133.658768,599.068237,543.732056,-156.463303,779.271606,270.527313,112.50106,703.827637,538.876526,99.78994,779.239807,219.514313
62.089039,877.203247,894.367737,-142.252075,840.144409,889.055786,-92.950546,654.228699,875.23468,-132.10051,588.349731,546.294434,-154.221527,760.001587,266.98407,112.795952,700.785767,538.234497,99.657883,778.2771,219.214447
61.655289,871.737671,894.372009,-142.427063,833.395569,888.964966,-91.887383,647.844055,875.224304,-130.474564,578.042664,548.772522,-151.885513,740.528442,263.363068,113.03228,697.747803,537.579529,99.502617,777.283508,218.911758
